ID,Class,Question
0,Electronics,Does this mouse work with most PC laptops?
1,Office Products,"Is this 3 color cartridges; yello, blue & magenta? Are they genuine Brother Catridges? If so they should come vacuum packed, right?"
2,Home and Kitchen,Is this powered by electricity or hand? and would it be suitable for grinding up to 20 lb a day for livestock? thank you
3,Home and Kitchen,Does this have to be used in a corner? Would it look odd against a wall?
4,Electronics,We get less than one full round after charging. Is there a battery inside?
5,Grocery and Gourmet Food,Where are the Chia Seeds from? China?
6,Tools and Home Improvement,Is this light cordless?
7,Sports and Outdoors,What does it weigh?
8,Automotive,where do I connect the red @black cables from the B.M.to the posts on the 4/ 12volt batteries wired in series on my golf cart.
9,Pet Supplies,Do the conveyor belt effectively move the litter into the waste bin or do the clumps often break up in the process creating more mess?
10,Patio Lawn and Garden,"Is this battery lead acid, Ni Cad, or Lithium??"
11,Electronics,Are they bluetooth compatible as well
12,Video Games,Will this game work with a joystick?
13,Electronics,"Does this charger have a ""fold away"" male plug or does it have a cable?"
14,Home and Kitchen,"Is there anyone who has had this vacuum for a while and still loves it? It seems the reviews here fall into 2 distinct groups. Those who just got theirs and love it. And those who have had theirs for 6 months or more and hate it because it doesn't work any longer.Can anyone span these 2 categories? What I mean is: Does anyone still love theirs after more than 6 months? We need to hear from you to get an idea of the unit's overall reliability.Thanks,Philo"
15,Office Products,weight limit
16,Home and Kitchen,How easy is it to juice? I'm losing strenth in my hands...
17,Home and Kitchen,"I noticed one reviewer stated that the legs force a 6'' gap between table and wall. If that's the case, I would expect everyone would have a complaint about it because console tables should sit flush with the wall. Did anyone else have this problem? I'm wondering if that was a manufacturing error with the one table. Thanks!!!"
18,Pet Supplies,Most of the complaints about this fountain seem to be about the pump. Is it plastic? Is there any smell around the pump?
19,Tools and Home Improvement,how tall above the kitchen counter is this unit???
20,Toys and Games,How do you set it up indoors?
21,Office Products,Does this pen run out of ink easily?
22,Electronics,can they plug into an iphone or ipod?
23,Automotive,Is this for both the drive and front passenger mats?
24,Toys and Games,what is the age limit that a child can use it?
25,Electronics,Can this hold up to 20 pounds?
26,Tools and Home Improvement,Would you recommend adding the crystals and strands after the chandelier is hung so they don't get tangled or damaged?
27,Sports and Outdoors,"Hi, is this price for only one or for the pair? Thanks"
28,Sports and Outdoors,"How cold can you really use this bag. I'm in Boy Scouts and need something warm in the 20'-30 degree weather, The desert gets cold at night"
29,Patio Lawn and Garden,"Are these weather resistant to rain, etc.?"
30,Tools and Home Improvement,Does this work with LED lights?
31,Toys and Games,The keys from japan are bigger do they fit this morpher
32,Tools and Home Improvement,"Does it require an electrical outlet/connection? Also, does it have warm water?"
33,Sports and Outdoors,Will this work on my Walther 380 auto
34,Automotive,I have a 99 silverado LS with the newer body style. It has the original small mirrors with heat and power which features will work? Turn Signals?
35,Sports and Outdoors,"hi, the description says the handles are green but the picture is of brown scales. what color did you recieve?"
36,Electronics,Is it better to have an i5 processor with 6gb RAM or an i7 with 4 gb RAM? I mostly use ms word and browse the internet.
37,Sports and Outdoors,"Is the handle attached with a nut and bolt or something else? I need to add a handle to a sit-on kayak, there is no access to the inside of the craft."
38,Sports and Outdoors,Does this case come with a lock?
39,Sports and Outdoors,how much does it weight assembled
40,Patio Lawn and Garden,"How far does it swivel back and forth? I am looking for 90 degrees, but this looks like 45 max."
41,Office Products,Is the Canon P-215 compatible with Windows 7 & Windows 8?
42,Electronics,I plugged mine into the usb port on my laptop using the usb cord provided and got nothing. The power light never went on at all. why?
43,Electronics,fit with my D3100 ?? Does the Nikon 50mm f/1.8D AF Nikkor Lens fit and work with the Nikkon D3100 ?why i heard that i can't buy any lens not DX ??and is this lens has auto focus built in or not ??ty all for help
44,Home and Kitchen,Could I use this for my salad dressing? I'm wondering if the dressing would come out the small opening on top if I tried to shake it to mix the dressing?
45,Cell Phones and Accessories,Does at&t require a data plan with this phone?
46,Home and Kitchen,"Do you need to use the bottles provided, or would anything else work?"
47,Cell Phones and Accessories,Is this case more slick/hard plastic or more rubberized feeling on the outside?
48,Tools and Home Improvement,how many batteries does it come with?
49,Automotive,is this the left rear or the right rear shock or does it fit either left or rear?
50,Electronics,Does this DVD player actually come with the two IR headphones or will I have to purchase them separately??
51,Electronics,Do these actually have canceling noise technology?
52,Tools and Home Improvement,Is it better to use thread tape when installing this for a shower head?
53,Home and Kitchen,I see that the mirror is a mylar mirror. Does it look like a fake/cheap mirror?
54,Cell Phones and Accessories,What's the storage memory on the phone like? How much storage memory does it have?
55,Electronics,Does anyone else get a high pitched whining noise from this router?
56,Home and Kitchen,What is the best mattress for this bed?
57,Electronics,Is it compatible with Windows 7 professional ?
58,Office Products,Can this gun use both regular and fine needles?
59,Electronics,"Which HD 3TB works best with this expansion unit? I will need 5 of them and have the loaded unit ""talk"" with DS5111+."
60,Automotive,would this be good for atv riders or just street bikes?
61,Office Products,"Ordered these mats for wood floor at fire station, they have reported that they slide on the floor. Any recommendations for keeping mats in place?"
62,Home and Kitchen,This product work with 220v? Im from Venezuela
63,Sports and Outdoors,Why does it say 40 pound Dumbell set when the total weights add up to 30 pounds?
64,Electronics,Can I hook this box to my tv and then plug a pair of bosre stero head phones into it and listen to tv as I am hard of hearing
65,Electronics,how do you use this. do you focus with the lens attached or you focus first then attach the close up lens?
66,Electronics,"If this uses composite cables(red,yellow,white) how can this be HD video? Will it only go up to 720p on my 1080p HDTV?"
67,Electronics,For those who have purchased this a while ago. Is the battery still holding a charge or has its performance diminished over time?
68,Electronics,"extending apple network How useful is this item as a bridge to extend the range of an airport extreme? Also, does it have to be connected to an ethernet cable to work as a bridge or can it just pick up the signal and extend it?"
69,Cell Phones and Accessories,Is the screen covered as wel?
70,Electronics,Do these headphones fold up or do the earcups rotate?
71,Electronics,how long is the cable for hookup?
72,Sports and Outdoors,How many shots do you get per CO2 cartriage?
73,Home and Kitchen,"I want to buy this, but my drawer is only 3"" deep. Will my large knives sit too high?"
74,Musical Instruments,Do you know what size Phillips head screwdriver is needed to open the battery compartment?
75,Electronics,How is this 1920x1080 if it's input is only RCA? I just bought this and the quality is garbage!!! Is there a way to make the input into a component ?
76,Cell Phones and Accessories,Does this case cover the front part of the phone completely or do I have to add a screen protector to it?
77,Patio Lawn and Garden,Could I safely use it on a wood deck? Does the bottom of the bowl get very hot?
78,Sports and Outdoors,Does reel come with fishing line
79,Pet Supplies,Would this work for guinea pigs? Is there anything besides the tag they could chew inside the carrier? Thanks!
80,Home and Kitchen,"Can I use this for small cooking appliances like elec fry pan, slow cooker or Ninja system baker? I am looking for something more stable than the 12 "" counter slab between my stove and end of counter. Thanks."
81,Sports and Outdoors,What happens if one of the cords snaps and breaks?
82,Tools and Home Improvement,How does the light know when to turn on/off when the lid is opened or closed? Is there some kind of switch that has to be mounted as well?
83,Home and Kitchen,Is that a glass that holds 8-ounces if filled to the top?
84,Tools and Home Improvement,The faucet says it is 14 inches. That seems really tall. Is the swivel aspect a problem? Also is the nickel finish good?
85,Home and Kitchen,so this frame is adjustable right? I need it for my full size bed.
86,Electronics,Does this come with the touch keyboard?
87,Electronics,"I recvd this camera as a gift. However, the battery won't charge after 4 hours & wondering how long the initial time takes. Suggestions?"
88,Automotive,I own a 2001 Mercedes- will this tool work on it?
89,Tools and Home Improvement,Are there 4 or 5 prongs in the center of the bulb?
90,Toys and Games,how does the top of this swing hang?I can't see the top of the swing in the photo.
91,Patio Lawn and Garden,Do this unit come with an igniter?Or is there one available for it.
92,Home and Kitchen,Can you make the coffee hotter and stronger than the normal settings?
93,Electronics,Does this camera take regular SD card (as suggested by Amazaon) or MICRO SD? I'm I missing something?
94,Sports and Outdoors,"Is assembly required for this machine? And if so, is it difficult to assemble?"
95,Electronics,length
96,Tools and Home Improvement,Will this install on studs that are 16-inch center to center?
97,Automotive,Does this fit a 2015 model?
98,Automotive,How well do theses work blocking out dust for off road UTV riding?
99,Tools and Home Improvement,Is anyone else having problems with the heating element failing?
100,Video Games,"Does it work with any driving or racing game, even simulators?"
101,Electronics,Can someone write a review on these for 2015 please?
102,Electronics,Will it charge the Parrot ZIk battery ? Parrot Zik Lithium-Ion Rechargeable Battery
103,Electronics,When will this product be available for delivery? Does anybody know?
104,Cell Phones and Accessories,I just purchased a 5s. I am a first time iphone user. I most concerned about protecting it. Will this case do the job?
